"iid","pid","gender","match","age","field","race","from","income","goal","career","wave","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1"
234,243,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,244,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,245,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,246,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,247,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,248,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,249,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,250,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
234,251,0,0,22,"Sociology and Education",6,"Virginia","44,346.00",3,"Educational Policy",10,20,20,20,10,10,75,1,1,3,10,10,20,20,20,15
235,243,0,1,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,244,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,245,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,246,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,247,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,248,0,1,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,249,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,250,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
235,251,0,0,23,"elementary education",2,"Boston, MA","",1,"elementary school teacher",10,15,15,20,20,20,25,10,10,25,10,20,15,10,25,10
236,243,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,244,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,245,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,246,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,247,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,248,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,249,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,250,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
236,251,0,0,24,"Biology",4,"Indiana","42,225.00",2,"Research/Teaching",10,15,20,15,20,15,30,10,10,30,10,25,15,15,20,15
237,243,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,244,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,245,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,246,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,247,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,248,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,249,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,250,0,1,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
237,251,0,0,34,"American Studies",2,"lOS aNGELES","37,405.00",3,"WRITING",10,10,20,20,20,20,30,5,15,30,10,30,10,10,30,10
238,243,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,244,0,1,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,245,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,246,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,247,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,248,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,249,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,250,0,1,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
238,251,0,0,27,"Arts Administration",2,"Wisconsin","28,524.00",1,"manage a museum or art gallery",10,15,20,20,15,15,50,10,10,25,0,40,10,25,10,10
239,243,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,244,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,245,0,1,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,246,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,247,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,248,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,249,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,250,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
239,251,0,0,34,"Conservation biology",2,"Born in Montana, raised in South Jersey (nr. Philadelphia)","",2,"Conservation training and education",10,10,25,20,20,5,20,20,15,20,10,20,15,15,15,20
240,243,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,244,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,245,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,246,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,247,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,248,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,249,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,250,0,1,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
240,251,0,0,26,"MBA",4,"New York","61,141.00",1,"Entertainment/Media",10,10,30,30,10,10,40,5,10,25,10,40,5,10,25,10
241,243,0,1,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,244,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,245,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,246,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,247,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,248,0,1,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,249,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,250,0,1,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
241,251,0,0,29,"Business",4,"New York","8,607.00",2,"president",10,90,2,2,2,2,90,5,2,3,0,15,35,15,10,10
242,243,0,1,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,244,0,0,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,245,0,0,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,246,0,1,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,247,0,0,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,248,0,1,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,249,0,0,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,250,0,1,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
242,251,0,1,26,"sociology",3,"uruguay","",3,"researcher in sociology",10,20,20,25,20,5,30,10,20,25,5,25,15,20,25,5
243,234,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,235,1,1,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,236,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,237,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,238,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,239,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,240,1,0,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,241,1,1,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
243,242,1,1,27,"Japanese Literature",2,"Portland, Oregon","",2,"Professor",10,20,20,20,25,5,20,25,15,20,10,25,20,15,20,5
244,234,1,0,28,"MBA",2,"Seattle","",2,"Management Consultant",10,20,20,20,10,10,20,20,10,20,20,40,10,10,30,5
244,235,1,0,28,"MBA",2,"Seattle","",2,"Management Consultant",10,20,20,20,10,10,20,20,10,20,20,40,10,10,30,5
244,236,1,0,28,"MBA",2,"Seattle","",2,"Management Consultant",10,20,20,20,10,10,20,20,10,20,20,40,10,10,30,5
244,237,1,0,28,"MBA",2,"Seattle","",2,"Management Consultant",10,20,20,20,10,10,20,20,10,20,20,40,10,10,30,5
