"source","target","value"
"lawyer","law",248
"consulting","mba",79
"consulting","business",76
"finance","mba",68
"who knows","psychology",42
"professor","business",40
"professor","sociology",36
"scientist","biology",27
"professor","biology",23
"actress","theater",22
"finance","math",22
"management","business",22
"academia","sociology",21
"dietician","nutritiron",21
"research","genetics",21
"research","sociology",21
"researcher","biology",21
"scientist","genetics",21
"undecided","french",21
"attorney","law",20
"business","qmss",20
"hero","psychology",20
"historian","history",20
"make money","mba",20
"professor","physics",20
"researcher","physics",20
"undecided","business",20
"academia","psychology",19
"academic","economics",19
"banker","finanace",19
"filmmaker","film",19
"undecided","education",19
"academic","marketing",18
"finance","business",18
"teacher","classics",18
"trader","mba",18
"writer","film",18
"academic","philosophy",16
"academic","physics",16
"professor","math",16
"professor","psychology",16
"acadeic","physics",15
"film","theater",15
"unknown","working",15
"educator","education",14
"banker","mba",10
"banking","mba",10
"ceo","finance",10
"ceo","money",10
"comedienne","psychology",10
