"source","target","value"
"consulting","new york",39
"lawyer","california",37
"lawyer","new jersey",32
"professor","new jersey",32
"lawyer","new york",26
"actress","san diego",22
"consulting","genova, italy",22
"finance","italy",22
"finance","uk",22
"lawyer","russia",22
"management","germany",22
"professor","chile",22
"academia","mexico",21
"dietician","taiwan",21
"professor","washington, dc",21
"research","israel",21
"research","russia",21
"researcher","toronto",21
"scientist","budapest",21
"scientist","texas",21
"undecided","new york city",21
"who knows","brooklyn, ny",21
"who knows","warsaw, poland",21
"business","new york",20
"consulting","colombia",20
"consulting","san francisco",20
"finance","baltimore",20
"hero","sweden",20
"historian","new york",20
"make money","france",20
"professor","germany",20
"researcher","russia/germany",20
"undecided","midwest usa",20
"academia","israel",19
"academic","spain",19
