"source","target","value"
"consulting","male",155
"lawyer","male",146
"professor","male",106
"lawyer","female",102
"finance","male",88
"research","male",52
"academic","male",51
"professor","female",45
"who knows","female",42
"academia","male",40
"undecided","female",40
"banker","male",29
"scientist","male",27
"trader","male",27
"finance","female",26
"actress","female",22
"management","male",22
"dietician","female",21
"researcher","female",21
"scientist","female",21
"business","female",20
"ceo","male",20
"hero","male",20
"historian","female",20
"make money","male",20
"researcher","male",20
"undecided","male",20
"filmmaker","female",19
"academic","female",18
"teacher","female",18
"writer","male",18
"acadeic","male",15
"film","male",15
"unknown","female",15
"educator","female",14
"attorney","female",10
"attorney","male",10
"banking","male",10
"comedienne","female",10
"economist","female",10
"medicine","male",10
"tax lawyer","male",10
"trading","male",10
"writer","female",10
"consulting","female",9
"president","female",9
"lobbyist","male",6
"teaching","female",5
