"source","target","value"
"law","lawyer",248
"mba","consulting",79
"business","consulting",76
"mba","finance",68
"psychology","who knows",42
"business","professor",40
"sociology","professor",36
"biology","scientist",27
"biology","professor",23
"business","management",22
"math","finance",22
"theater","actress",22
"biology","researcher",21
"french","undecided",21
"genetics","research",21
"genetics","scientist",21
"nutritiron","dietician",21
"sociology","academia",21
"sociology","research",21
"business","undecided",20
"history","historian",20
"law","attorney",20
"mba","make money",20
"physics","professor",20
"physics","researcher",20
"psychology","hero",20
"qmss","business",20
"economics","academic",19
"education","undecided",19
"film","filmmaker",19
"finanace","banker",19
"psychology","academia",19
"business","finance",18
"classics","teacher",18
"film","writer",18
"marketing","academic",18
"mba","trader",18
"math","professor",16
"philosophy","academic",16
"physics","academic",16
"psychology","professor",16
"physics","acadeic",15
"theater","film",15
"working","unknown",15
"education","educator",14
"economics","economist",10
"english","writer",10
"finance","ceo",10
"law","tax lawyer",10
"mba","banker",10
