"source","target","value"
"business","germany",40
"mba","new york",39
"law","california",37
"law","new jersey",32
"law","new york",26
"psychology","new jersey",26
"business","chile",22
"business","genova, italy",22
"law","russia",22
"math","italy",22
"mba","uk",22
"theater","san diego",22
"biology","budapest",21
"biology","toronto",21
"french","new york city",21
"genetics","israel",21
"genetics","texas",21
"nutritiron","taiwan",21
"psychology","brooklyn, ny",21
"psychology","warsaw, poland",21
"sociology","mexico",21
"sociology","russia",21
"sociology","washington, dc",21
"business","midwest usa",20
"history","new york",20
"mba","baltimore",20
"mba","colombia",20
"mba","france",20
"mba","san francisco",20
"physics","germany",20
"physics","russia/germany",20
"psychology","sweden",20
"qmss","new york",20
"economics","spain",19
"education","connecticut",19
