"source","target","value"
"mba","male",195
"law","male",166
"business","male",163
"law","female",112
"sociology","male",78
"physics","male",71
"psychology","female",68
"psychology","male",49
"biology","male",43
"math","male",38
"education","female",33
"business","female",31
"biology","female",28
"mba","female",26
"philosophy","male",26
"theater","female",22
"french","female",21
"genetics","female",21
"genetics","male",21
"nutritiron","female",21
"history","female",20
"qmss","female",20
"economics","male",19
"film","female",19
"finanace","male",19
"classics","female",18
"film","male",18
"marketing","female",18
"theater","male",15
"working","female",15
"economics","female",10
"english","female",10
"finance","male",10
"money","male",10
"sipa / mia","female",9
"stats","male",6
"theory","female",5
