"source","target","value"
"mba","European/Caucasian-American",161
"law","European/Caucasian-American",104
"business","European/Caucasian-American",100
"psychology","European/Caucasian-American",70
"sociology","European/Caucasian-American",57
"law","Black/African American",52
"biology","European/Caucasian-American",50
"law","Asian/Pacific Islander/Asian-American",48
"business","Asian/Pacific Islander/Asian-American",45
"genetics","European/Caucasian-American",42
"mba","Asian/Pacific Islander/Asian-American",40
"law","Other",38
"math","European/Caucasian-American",38
"film","European/Caucasian-American",37
"law","Latino/Hispanic American",36
"physics","European/Caucasian-American",36
"education","European/Caucasian-American",33
"economics","European/Caucasian-American",29
"business","Other",27
"philosophy","European/Caucasian-American",26
"business","Latino/Hispanic American",22
"theater","European/Caucasian-American",22
"biology","Asian/Pacific Islander/Asian-American",21
"french","European/Caucasian-American",21
"nutritiron","Asian/Pacific Islander/Asian-American",21
"psychology","Black/African American",21
"sociology","Latino/Hispanic American",21
"history","European/Caucasian-American",20
"mba","Latino/Hispanic American",20
"physics","Asian/Pacific Islander/Asian-American",20
"qmss","European/Caucasian-American",20
"finanace","European/Caucasian-American",19
"classics","European/Caucasian-American",18
"marketing","European/Caucasian-American",18
"psychology","Asian/Pacific Islander/Asian-American",16
"physics","Other",15
"theater","Other",15
"working","European/Caucasian-American",15
"english","Latino/Hispanic American",10
"finance","European/Caucasian-American",10
"money","European/Caucasian-American",10
"psychology","Other",10
"sipa / mia","European/Caucasian-American",9
"stats","Asian/Pacific Islander/Asian-American",6
"theory","European/Caucasian-American",5
