"source","target","value"
"germany","business",40
"new york","mba",39
"california","law",37
"new jersey","law",32
"new jersey","psychology",26
"new york","law",26
"chile","business",22
"genova, italy","business",22
"italy","math",22
"russia","law",22
"san diego","theater",22
"uk","mba",22
"brooklyn, ny","psychology",21
"budapest","biology",21
"israel","genetics",21
"mexico","sociology",21
"new york city","french",21
"russia","sociology",21
"taiwan","nutritiron",21
"texas","genetics",21
"toronto","biology",21
"warsaw, poland","psychology",21
"washington, dc","sociology",21
"baltimore","mba",20
"colombia","mba",20
"france","mba",20
"germany","physics",20
"midwest usa","business",20
"new york","history",20
"new york","qmss",20
"russia/germany","physics",20
"san francisco","mba",20
"sweden","psychology",20
"connecticut","education",19
"houston","law",19
"israel","psychology",19
"italy","finanace",19
"new york city","film",19
"spain","economics",19
"ann arbor","film",18
"atlanta, ga","mba",18
"chicago","business",18
"israel","business",18
"israel","marketing",18
"minneapolis","business",18
"ohio","classics",18
"philippines","business",18
"boston","law",16
"colorado","biology",16
"greece","physics",16
