"source","target","value"
"new york","European/Caucasian-American",104
"israel","European/Caucasian-American",58
"new york city","European/Caucasian-American",56
"russia","European/Caucasian-American",43
"italy","European/Caucasian-American",41
"germany","European/Caucasian-American",40
"new jersey","European/Caucasian-American",40
"connecticut","European/Caucasian-American",29
"chicago","European/Caucasian-American",28
"chile","Latino/Hispanic American",22
"genova, italy","European/Caucasian-American",22
"san diego","European/Caucasian-American",22
"uk","European/Caucasian-American",22
"brooklyn, ny","Black/African American",21
"budapest","European/Caucasian-American",21
"mexico","Latino/Hispanic American",21
"taiwan","Asian/Pacific Islander/Asian-American",21
"texas","European/Caucasian-American",21
"toronto","Asian/Pacific Islander/Asian-American",21
"warsaw, poland","European/Caucasian-American",21
"washington, dc","European/Caucasian-American",21
"baltimore","Asian/Pacific Islander/Asian-American",20
"colombia","Latino/Hispanic American",20
"france","European/Caucasian-American",20
"germany","Asian/Pacific Islander/Asian-American",20
"midwest usa","European/Caucasian-American",20
"russia/germany","European/Caucasian-American",20
"san francisco","European/Caucasian-American",20
"sweden","European/Caucasian-American",20
"california","Black/African American",19
