"source","target","value"
"male","mba",195
"male","law",166
"male","business",163
"female","law",112
"male","sociology",78
"male","physics",71
"female","psychology",68
"male","psychology",49
"male","biology",43
"male","math",38
"female","education",33
"female","business",31
"female","biology",28
"female","mba",26
"male","philosophy",26
"female","theater",22
"female","french",21
"female","genetics",21
"female","nutritiron",21
"male","genetics",21
"female","history",20
"female","qmss",20
"female","film",19
"male","economics",19
"male","finanace",19
"female","classics",18
"female","marketing",18
"male","film",18
"female","working",15
"male","theater",15
"female","economics",10
"female","english",10
"male","finance",10
"male","money",10
"female","sipa / mia",9
"male","stats",6
"female","theory",5
