"source","target","value"
"male","new york",72
"female","new york",64
"male","germany",60
"male","israel",58
"female","new york city",56
"male","russia",43
"male","california",41
"male","italy",41
"female","new jersey",40
"male","new jersey",40
"female","brooklyn, ny",35
"female","connecticut",29
"male","san francisco",29
"female","california",28
"male","chicago",28
"male","miami",25
"female","chile",22
"female","san diego",22
"male","genova, italy",22
"male","uk",22
"female","taiwan",21
"female","texas",21
"female","toronto",21
"female","warsaw, poland",21
"male","budapest",21
"male","mexico",21
"male","washington, dc",21
"male","baltimore",20
"male","colombia",20
"male","france",20
"male","midwest usa",20
"male","russia/germany",20
"male","sweden",20
"male","houston",19
"male","spain",19
"female","israel",18
"female","ohio",18
"male","ann arbor",18
"male","atlanta, ga",18
"male","minneapolis",18
"male","philippines",18
"female","boston",16
"female","los angeles",16
"male","colorado",16
"male","greece",16
"male","los angeles",16
"female","texas/london",15
"male","romania",15
"female","albuquerque, nm",10
"female","bowdoin college",10
"female","chicago",10
"female","long island, ny",10
"female","md",10
