"source","target","value"
"European/Caucasian-American","mba",161
"European/Caucasian-American","law",104
"European/Caucasian-American","business",100
"European/Caucasian-American","psychology",70
"European/Caucasian-American","sociology",57
"Black/African American","law",52
"European/Caucasian-American","biology",50
"Asian/Pacific Islander/Asian-American","law",48
"Asian/Pacific Islander/Asian-American","business",45
"European/Caucasian-American","genetics",42
"Asian/Pacific Islander/Asian-American","mba",40
"European/Caucasian-American","math",38
"Other","law",38
"European/Caucasian-American","film",37
"European/Caucasian-American","physics",36
"Latino/Hispanic American","law",36
"European/Caucasian-American","education",33
"European/Caucasian-American","economics",29
"Other","business",27
"European/Caucasian-American","philosophy",26
"European/Caucasian-American","theater",22
"Latino/Hispanic American","business",22
"Asian/Pacific Islander/Asian-American","biology",21
"Asian/Pacific Islander/Asian-American","nutritiron",21
"Black/African American","psychology",21
"European/Caucasian-American","french",21
"Latino/Hispanic American","sociology",21
"Asian/Pacific Islander/Asian-American","physics",20
"European/Caucasian-American","history",20
"European/Caucasian-American","qmss",20
"Latino/Hispanic American","mba",20
"European/Caucasian-American","finanace",19
"European/Caucasian-American","classics",18
"European/Caucasian-American","marketing",18
"Asian/Pacific Islander/Asian-American","psychology",16
"European/Caucasian-American","working",15
"Other","physics",15
"Other","theater",15
"European/Caucasian-American","finance",10
"European/Caucasian-American","money",10
"Latino/Hispanic American","english",10
"Other","psychology",10
"European/Caucasian-American","sipa / mia",9
"Asian/Pacific Islander/Asian-American","stats",6
"European/Caucasian-American","theory",5
