"source","target","value"
"European/Caucasian-American","new york",104
"European/Caucasian-American","israel",58
"European/Caucasian-American","new york city",56
"European/Caucasian-American","russia",43
"European/Caucasian-American","italy",41
"European/Caucasian-American","germany",40
"European/Caucasian-American","new jersey",40
"European/Caucasian-American","connecticut",29
"European/Caucasian-American","chicago",28
"European/Caucasian-American","genova, italy",22
"European/Caucasian-American","san diego",22
"European/Caucasian-American","uk",22
"Latino/Hispanic American","chile",22
"Asian/Pacific Islander/Asian-American","taiwan",21
"Asian/Pacific Islander/Asian-American","toronto",21
"Black/African American","brooklyn, ny",21
"European/Caucasian-American","budapest",21
"European/Caucasian-American","texas",21
"European/Caucasian-American","warsaw, poland",21
"European/Caucasian-American","washington, dc",21
"Latino/Hispanic American","mexico",21
"Asian/Pacific Islander/Asian-American","baltimore",20
"Asian/Pacific Islander/Asian-American","germany",20
"European/Caucasian-American","france",20
"European/Caucasian-American","midwest usa",20
"European/Caucasian-American","russia/germany",20
"European/Caucasian-American","san francisco",20
"European/Caucasian-American","sweden",20
"Latino/Hispanic American","colombia",20
"Black/African American","california",19
