"source","target","value"
"african-american studies/history","writer/teacher",3
"american studies","writing",3
"american studies (masters)","writer",3
"anthropology","medical examiner or researcher",3
"anthropology","to get ph.d and be a professor",3
"anthropology/education","researcher",3
"applied maths/econs","banking",3
"applied physiology & nutrition","private practice dietician",3
"architecture","architecture and design",3
"art education","art educator and artist",3
"art education","college art teacher",3
"art education","teacher",3
"art history","playing music",3
"art history","professor",3
"art history/medicine","pediatrics",3
"arts administration","manage a museum or art gallery",3
"bilingual education","bilingual elementary school teacher",3
"bilingual education","professor of education",3
"biochemistry","pharmaceuticals and biotechnology",3
"biochemistry","physician scientist",3
"biochemistry","science",3
"biochemistry","undecided",3
"biochemistry & molecular biophysics","scientist",3
"biochemistry/genetics","scientist",3
"biology","professor",3
