"source","target","value"
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Chicago","lawyer",1
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Alabama","law",2
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Connecticut","Economist",3
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Texas","lawyer/policy work",4
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"Bowdoin College","lawyer",5
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"MD","lawyer",6
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"Southern California","Law",7
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"London, England","Journalist",8
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"Palm Springs, California","Congresswoman, and comedian",9
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"94115","To create early childhood intervention programs",10
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"Argentina","Academia, Research, Banking, Life",11
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"England","Corporate Lawyer",12
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Southern California","Lawyer",13
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Cincinnati, Ohio","Corporate attorney",14
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Miami","Lawyer",15
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Milan - Italy","research/financial industry",16
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"Georgia, USA","academics or journalism",17
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"New York","Financial Services",18
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"california","ceo",19
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"Washington DC","CEO",20
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"New Jersey","Undecided",21
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Ann Arbor, MI","Informatics",22
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"Hong Kong","psychologist",23
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"new york","health/nutrition oriented social worker",24
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"Iowa","Social Worker",25
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"California","Social work with children",26
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"Westchester, NY","Speech Language Pathologist",27
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"","",28
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
"Washington, DC","Social Work Administration",29
