"source","target","value"
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"lawyer",1
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"law",2
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"Economist",3
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer/policy work",4
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",5
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"lawyer",6
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Law",7
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Journalist",8
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"Congresswoman, and comedian",9
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
0,"To create early childhood intervention programs",10
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Academia, Research, Banking, Life",11
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Corporate Lawyer",12
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Lawyer",13
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Corporate attorney",14
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"Lawyer",15
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"research/financial industry",16
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"academics or journalism",17
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"Financial Services",18
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"ceo",19
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
1,"CEO",20
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Undecided",21
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"Informatics",22
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"psychologist",23
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"health/nutrition oriented social worker",24
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social Worker",25
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Social work with children",26
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"Speech Language Pathologist",27
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"",28
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Social Work Administration",29
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"Lawyer",30
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"law",31
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Professor",32
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Clidren's TV",33
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Banking",34
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Capital Markets",35
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Biostatistics",36
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"Organizational Change Consultant",37
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"law",38
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
0,"lawyer",39
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
1,"tech professional",40
