"source","target","value"
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
4,"lawyer",1
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"law",2
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"Economist",3
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer/policy work",4
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
2,"lawyer",5
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"lawyer",6
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
4,"Law",7
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
2,"Journalist",8
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
6,"Congresswoman, and comedian",9
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"To create early childhood intervention programs",10
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Academia, Research, Banking, Life",11
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
2,"Corporate Lawyer",12
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
4,"Lawyer",13
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
2,"Corporate attorney",14
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
3,"Lawyer",15
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"research/financial industry",16
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"academics or journalism",17
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"Financial Services",18
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"ceo",19
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
2,"CEO",20
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
4,"Undecided",21
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
1,"Informatics",22
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
4,"psychologist",23
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"health/nutrition oriented social worker",24
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social Worker",25
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
2,"Social work with children",26
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
3,"Speech Language Pathologist",27
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"",28
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Social Work Administration",29
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"Lawyer",30
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
2,"law",31
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
4,"Professor",32
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
2,"Clidren's TV",33
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
4,"Banking",34
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Capital Markets",35
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Biostatistics",36
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
2,"Organizational Change Consultant",37
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
1,"law",38
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
3,"lawyer",39
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"tech professional",40
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"law",41
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
4,"Engineer",42
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"Academic",43
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"academia",44
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker / academia",45
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"banker",46
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Academic",47
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
2,"Music production",48
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
4,"Entrepreneur",49
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
1,"lawyer",50
2,"Law",51
2,"Law",51
2,"Law",51
